Category,Reviews,Installs,Type,Size,Price,Content Rating,Genres,Current Version,Rating > 80%
17,3883589,100000000.0,0,57.0,0.0,0,30,2,True
22,116880,10000000.0,0,2.0,0.0,0,83,1,True
16,6808,500000.0,0,12.0,0.0,1,26,3,True
18,169,5000.0,1,60.0,2.99,0,53,1,True
17,54221,1000000.0,0,47.0,0.0,0,38,1,True
18,13,1000.0,0,2.0,0.0,0,17,1,True
23,3387,50000.0,1,25.0,29.99,0,36,4,True
17,285814,10000000.0,0,84.0,0.0,1,34,3,True
21,9,10.0,0,0.169,0.0,0,82,1,True
17,4107,50000.0,1,40.0,4.99,0,41,1,True
25,951413,100000000.0,0,13.0,0.0,0,86,1,True
22,7594559,100000000.0,0,34.0,0.0,1,83,9,True
24,1,100.0,0,3.0,0.0,0,84,1,True
24,48930,5000000.0,0,15.0,0.0,0,84,4,True
2,964,50000.0,0,9.0,0.0,0,4,4,True
22,32398,1000000.0,0,28.0,0.0,0,83,9,True
14,36857,1000000.0,0,19.0,0.0,0,24,2,True
18,1424,100000.0,0,19.0,0.0,0,99,2,True
26,4,50.0,0,0.511,0.0,0,87,1,True
18,39,1000.0,0,7.4,0.0,0,17,3,True
25,27180,1000000.0,0,4.1,0.0,0,86,3,True
19,2108,50000.0,0,28.0,0.0,0,80,4,True
25,175,10000.0,0,4.3,0.0,0,86,1,True
7,6,100.0,0,4.9,0.0,3,10,1,True
18,78,10000.0,0,0.787,0.0,0,99,1,True
5,238970,1000000.0,0,28.0,0.0,1,7,3,True
19,70,10000.0,0,1.9,0.0,0,80,2,True
19,2948,50000.0,0,16.0,0.0,0,80,4,True
18,13,100.0,0,2.1,0.0,0,17,2,True
26,7146,1000000.0,0,14.0,0.0,2,87,1,True
8,11904,1000000.0,0,1.8,0.0,0,11,2,True
25,2158,100000.0,0,3.0,0.0,0,86,2,True
18,4,100.0,1,42.0,0.99,0,73,1,True
18,43,1000.0,0,3.3,0.0,0,11,1,True
18,361734,5000000.0,0,58.0,0.0,0,32,2,True
21,1,10.0,0,1.1,0.0,0,82,1,True
24,481546,10000000.0,0,29.0,0.0,0,84,5,True
18,12137,100000.0,0,63.0,0.0,2,59,1,True
25,2598579,50000000.0,0,49.0,0.0,0,86,1,True
20,5677,50000.0,0,67.0,0.0,1,81,1,True
18,193,10000.0,0,14.0,0.0,0,17,1,True
18,28737,1000000.0,0,17.0,0.0,0,54,1,True
18,589,100000.0,0,3.6,0.0,3,17,1,True
26,60298,5000000.0,0,13.0,0.0,0,87,1,True
18,1407,100000.0,0,3.4,0.0,2,44,1,True
3,2,5.0,0,1.4,0.0,0,5,0,True
11,106,10000.0,0,4.4,0.0,0,21,5,True
28,1413,100000.0,0,14.0,0.0,3,89,2,True
19,2951,50000.0,0,16.0,0.0,0,80,4,True
19,125,10000.0,0,23.0,0.0,0,80,1,True
16,8,1000.0,0,6.7,0.0,0,26,0,True
24,98,5000.0,0,2.0,0.0,0,84,2,True
19,1747,100000.0,0,5.9,0.0,0,80,1,True
21,46153,10000000.0,0,17.0,0.0,0,82,2,True
18,2311,100000.0,1,9.3,1.99,0,32,1,True
30,98819,5000000.0,0,27.0,0.0,0,94,1,True
17,68057,10000000.0,0,85.0,0.0,0,39,1,True
24,40225,1000000.0,0,4.1,0.0,0,84,4,True
2,75,50000.0,0,4.2,0.0,0,4,1,True
18,17753,1000000.0,0,16.0,0.0,0,46,2,True
17,655145,10000000.0,0,72.0,0.0,1,29,1,True
6,483782,10000000.0,0,20.0,0.0,0,9,1,True
11,78306,5000000.0,0,46.0,0.0,0,21,9,True
16,3,100.0,0,4.0,0.0,0,26,1,True
31,56524,1000000.0,0,14.0,0.0,1,95,3,True
18,4218587,50000000.0,0,100.0,0.0,2,40,1,True
26,2910,500000.0,0,2.3,0.0,0,87,1,True
18,43090,5000000.0,0,95.0,0.0,0,45,2,True
7,59,5000.0,0,38.0,0.0,0,10,1,True
19,2570,100000.0,0,3.8,0.0,0,80,1,True
10,48,1000.0,0,13.0,0.0,0,20,8,True
31,62740,500000.0,0,8.6,0.0,3,95,1,True
